NAME,ST,LAT,LON
ABERDEEN,SD,45.455833,-98.413333
ALBUQUERQUE,NM,35.149722,-106.82388
NORFOLK RICH,VA,36.98405,-77.007361
AMARILLO,TX,35.233333,-101.70927
MIAMI,FL,25.611083,-80.412667
GAYLORD,MI,44.90635,-84.719533
LA CROSSE,WI,43.822778,-91.191111
SEATTLE,WA,48.194611,-122.49569
BEALE AFB,CA,39.495639,-121.63161
BINGHAMTON,NY,42.199694,-75.984722
EUREKA,CA,40.498583,-124.29216
BISMARCK,ND,46.770833,-100.76055
BILLINGS,MT,45.853778,-108.6068
BIRMINGHAM,AL,33.172417,-86.770167
BOSTON,MA,41.955778,-71.136861
BROWNSVILLE,TX,25.916,-97.418967
BUFFALO,NY,42.948789,-78.736781
KEY WEST,FL,24.5975,-81.703167
COLUMBIA,SC,33.948722,-81.118278
HOULTON,ME,46.03925,-67.806431
BOISE,ID,43.490217,-116.23603
STATE COLLEGE,PA,40.923167,-78.003722
CLEVELAND,OH,41.413217,-81.859867
CHARLESTON,SC,32.655528,-81.042194
ROC FAA REDUNDANT RDA 1,OK,35.238333,-97.46
CORPUS CHRISTI,TX,27.784017,-97.51125
BURLINGTON,VT,44.511,-73.166431
CHEYENNE,WY,41.151919,-104.80603
SACRAMENTO,CA,38.501111,-121.67783
DODGE CITY,KS,37.760833,-99.968889
LAUGHLIN AFB,TX,29.273139,-100.28033
JACKSON BRANDON,MS,32.279944,-89.984444
PHILADELPHIA,NJ,39.947089,-74.410731
DULUTH,MN,46.836944,-92.209722
DES MOINES,IA,41.7312,-93.722869
DOVER AFB,DE,38.825767,-75.440117
DETROIT,MI,42.7,-83.471667
DAVENPORT,IA,41.611667,-90.580833
DYESS AFB,TX,32.5385,-99.254333
KANSAS CITY,MO,38.81025,-94.264472
TUCSON,AZ,31.89365,-110.63025
ALBANY,NY,42.586556,-74.064083
FORT RUCKER,AL,31.460556,-85.459389
EL PASO,NM,31.873056,-106.698
LAS VEGAS,NV,35.70135,-114.89165
EGLIN AFB,FL,30.565033,-85.921667
AUSTIN SAN ANTONIO,TX,29.704056,-98.028611
EDWARDS,CA,35.09785,-117.56075
ROANOKE,VA,37.0244,-80.273969
ALTUS AFB,OK,34.362194,-98.976667
CANNON AFB,NM,34.634167,-103.61888
ATLANTA,GA,33.36355,-84.56595
SIOUX FALLS,SD,43.587778,-96.729444
FLAGSTAFF,AZ,34.574333,-111.19844
DENVER FRONT RANGE AP,CO,39.786639,-104.5458
DALLAS,TX,32.573,-97.30315
GLASGOW,MT,48.206361,-106.62469
GRAND JUNCTION,CO,39.062169,-108.21376
GOODLAND,KS,39.366944,-101.70027
GREEN BAY,WI,44.498633,-88.111111
FORT HOOD,TX,30.721833,-97.382944
GRAND RAPIDS,MI,42.893889,-85.544889
GREER,SC,34.883306,-82.219833
COLUMBUS AFB,MS,33.896917,-88.329194
PORTLAND,ME,43.891306,-70.256361
HOLLOMAN AFB,NM,33.077,-106.12003
HOUSTON,TX,29.4719,-95.078733
SAN JOAQUIN VALLEY,CA,36.314181,-119.63213
FORT CAMPBELL,KY,36.736972,-87.285583
HUNTSVILLE,AL,34.930556,-86.083611
WICHITA,KS,37.654444,-97.443056
CEDAR CITY,UT,37.59105,-112.86218
CINCINNATI,OH,39.420483,-83.82145
LINCOLN,IL,40.1505,-89.336792
INDIANAPOLIS,IN,39.7075,-86.280278
TULSA,OK,36.175131,-95.564161
PHOENIX,AZ,33.289233,-111.66991
FORT WAYNE,IN,41.358611,-85.7
