"index","year","day","hour"
0,"2022","209","00"
1,"2022","209","01"
2,"2022","209","02"
3,"2022","209","03"
4,"2022","209","04"
5,"2022","209","05"
6,"2022","209","06"
7,"2022","209","07"
8,"2022","209","08"
9,"2022","209","09"
10,"2022","209","10"
11,"2022","209","11"
12,"2022","209","12"
13,"2022","209","13"
14,"2022","209","14"
15,"2022","209","15"
16,"2022","209","16"
17,"2022","209","17"
18,"2022","209","18"
19,"2022","209","19"
20,"2022","209","20"
21,"2022","209","21"
22,"2022","209","22"
23,"2022","209","23"
24,"2022","210","00"
25,"2022","210","01"
26,"2022","210","02"
27,"2022","210","03"
28,"2022","210","04"
29,"2022","210","05"
30,"2022","210","06"
31,"2022","210","07"
32,"2022","210","08"
33,"2022","210","09"
34,"2022","210","10"
35,"2022","210","11"
36,"2022","210","12"
37,"2022","210","13"
38,"2022","210","14"
39,"2022","210","15"
40,"2022","213","17"
41,"2022","213","18"
42,"2022","213","19"
43,"2022","213","20"
44,"2022","213","21"
45,"2022","213","22"
46,"2022","213","23"
47,"2022","214","00"
48,"2022","214","01"
49,"2022","214","02"
50,"2022","214","03"
51,"2022","214","04"
52,"2022","214","05"
53,"2022","214","06"
54,"2022","214","07"
55,"2022","214","08"
56,"2022","214","09"
57,"2022","214","10"
58,"2022","214","11"
59,"2022","214","12"
60,"2022","214","13"
61,"2022","214","14"
62,"2022","214","15"
63,"2022","214","16"
64,"2022","214","17"
65,"2022","214","18"
66,"2022","214","19"
67,"2022","214","20"
68,"2022","214","21"
69,"2022","214","22"
70,"2022","214","23"
71,"2022","215","00"
72,"2022","215","01"
73,"2022","215","02"
74,"2022","215","03"
75,"2022","215","04"
76,"2022","215","05"
77,"2022","215","06"
78,"2022","215","07"
79,"2022","215","08"
80,"2022","215","09"
81,"2022","215","10"
82,"2022","215","11"
83,"2022","215","12"
84,"2022","215","13"
85,"2022","215","14"
86,"2022","215","15"
87,"2022","215","16"
88,"2022","215","17"
89,"2022","215","18"
90,"2022","215","19"
91,"2022","215","20"
92,"2022","215","21"
93,"2022","215","22"
94,"2022","215","23"
95,"2022","216","00"
96,"2022","216","01"
97,"2022","216","02"
98,"2022","216","03"
99,"2022","216","04"
100,"2022","216","05"
101,"2022","216","06"
102,"2022","216","07"
103,"2022","216","08"
104,"2022","216","09"
105,"2022","216","10"
106,"2022","216","11"
107,"2022","216","12"
108,"2022","216","13"
109,"2022","216","14"
110,"2022","216","15"
111,"2022","216","16"
112,"2022","216","17"
113,"2022","216","18"
114,"2022","216","19"
115,"2022","216","20"
116,"2022","216","21"
117,"2022","216","22"
118,"2022","216","23"
119,"2022","217","00"
120,"2022","217","01"
121,"2022","217","02"
122,"2022","217","03"
