NAME,LAT,LON
ABERDEEN                       ,45.455833,-98.413333
ALBUQUERQUE                    ,35.149722,-106.82388
NORFOLK RICH                   ,36.98405,-77.007361
AMARILLO                       ,35.233333,-101.70927
MIAMI                          ,25.611083,-80.412667
GAYLORD                        ,44.90635,-84.719533
LA CROSSE                      ,43.822778,-91.191111
SEATTLE                        ,48.194611,-122.49569
BEALE AFB                      ,39.495639,-121.63161
BINGHAMTON                     ,42.199694,-75.984722
EUREKA                         ,40.498583,-124.29216
BISMARCK                       ,46.770833,-100.76055
BILLINGS                       ,45.853778,-108.6068
BIRMINGHAM                     ,33.172417,-86.770167
BOSTON                         ,41.955778,-71.136861
BROWNSVILLE                    ,25.916,-97.418967
BUFFALO                        ,42.948789,-78.736781
KEY WEST                       ,24.5975,-81.703167
COLUMBIA                       ,33.948722,-81.118278
HOULTON                        ,46.03925,-67.806431
BOISE                          ,43.490217,-116.23603
STATE COLLEGE                  ,40.923167,-78.003722
CLEVELAND                      ,41.413217,-81.859867
CHARLESTON                     ,32.655528,-81.042194
ROC FAA REDUNDANT RDA 1        ,35.238333,-97.46
CORPUS CHRISTI                 ,27.784017,-97.51125
BURLINGTON                     ,44.511,-73.166431
CHEYENNE                       ,41.151919,-104.80603
SACRAMENTO                     ,38.501111,-121.67783
DODGE CITY                     ,37.760833,-99.968889
LAUGHLIN AFB                   ,29.273139,-100.28033
JACKSON BRANDON                ,32.279944,-89.984444
PHILADELPHIA                   ,39.947089,-74.410731
DULUTH                         ,46.836944,-92.209722
DES MOINES                     ,41.7312,-93.722869
DOVER AFB                      ,38.825767,-75.440117
DETROIT                        ,42.7,-83.471667
DAVENPORT                      ,41.611667,-90.580833
DYESS AFB                      ,32.5385,-99.254333
KANSAS CITY                    ,38.81025,-94.264472
TUCSON                         ,31.89365,-110.63025
ALBANY                         ,42.586556,-74.064083
FORT RUCKER                    ,31.460556,-85.459389
EL PASO                        ,31.873056,-106.698
LAS VEGAS                      ,35.70135,-114.89165
EGLIN AFB                      ,30.565033,-85.921667
AUSTIN SAN ANTONIO             ,29.704056,-98.028611
EDWARDS                        ,35.09785,-117.56075
ROANOKE                        ,37.0244,-80.273969
ALTUS AFB                      ,34.362194,-98.976667
CANNON AFB                     ,34.634167,-103.61888
ATLANTA                        ,33.36355,-84.56595
SIOUX FALLS                    ,43.587778,-96.729444
FLAGSTAFF                      ,34.574333,-111.19844
DENVER FRONT RANGE AP          ,39.786639,-104.5458
DALLAS                         ,32.573,-97.30315
GLASGOW                        ,48.206361,-106.62469
GRAND JUNCTION                 ,39.062169,-108.21376
GOODLAND                       ,39.366944,-101.70027
GREEN BAY                      ,44.498633,-88.111111
FORT HOOD                      ,30.721833,-97.382944
GRAND RAPIDS                   ,42.893889,-85.544889
GREER                          ,34.883306,-82.219833
COLUMBUS AFB                   ,33.896917,-88.329194
PORTLAND                       ,43.891306,-70.256361
HOLLOMAN AFB                   ,33.077,-106.12003
HOUSTON                        ,29.4719,-95.078733
SAN JOAQUIN VALLEY             ,36.314181,-119.63213
FORT CAMPBELL                  ,36.736972,-87.285583
HUNTSVILLE                     ,34.930556,-86.083611
WICHITA                        ,37.654444,-97.443056
CEDAR CITY                     ,37.59105,-112.86218
CINCINNATI                     ,39.420483,-83.82145
LINCOLN                        ,40.1505,-89.336792
INDIANAPOLIS                   ,39.7075,-86.280278
TULSA                          ,36.175131,-95.564161
PHOENIX                        ,33.289233,-111.66991
FORT WAYNE                     ,41.358611,-85.7
JACKSONVILLE                   ,30.484633,-81.7019
ROBINS AFB                     ,32.675683,-83.350833
JACKSON                        ,37.590833,-83.313056
LUBBOCK                        ,33.654139,-101.81416
LAKE CHARLES                   ,30.125306,-93.215889
LANGLEY HILL NW WASHINGTON     ,47.116944,-124.10666
NEW ORLEANS                    ,30.336667,-89.825417
NORTH PLATTE                   ,41.957944,-100.57622
CHICAGO                        ,41.604444,-88.084444
ELKO                           ,40.73955,-116.8027
ST LOUIS                       ,38.698611,-90.682778
WILMINGTON                     ,33.98915,-78.429108
LOUISVILLE                     ,37.975278,-85.943889
STERLING                       ,38.976111,-77.4875
LITTLE ROCK                    ,34.8365,-92.262194
MIDLAND ODESSA                 ,31.943461,-102.18925
MEDFORD                        ,42.081169,-122.71736
MINOT AFB                      ,48.393056,-100.86444
MOREHEAD CITY                  ,34.775908,-76.876189
MILWAUKEE                      ,42.9679,-88.550667
MELBOURNE                      ,28.113194,-80.654083
MOBILE                         ,30.679444,-88.24
MINNEAPOLIS                    ,44.848889,-93.565528
MARQUETTE                      ,46.531111,-87.548333
KNOXVILLE                      ,36.168611,-83.401944
MISSOULA                       ,47.041,-113.98622
SALT LAKE CITY                 ,41.262778,-112.44777
SAN FRANCISCO                  ,37.155222,-121.89844
GRAND FORKS                    ,47.527778,-97.325556
MAXWELL AFB                    ,32.53665,-85.78975
SAN DIEGO                      ,32.919017,-117.0418
MEMPHIS                        ,35.344722,-89.873333
OMAHA                          ,41.320369,-96.366819
NASHVILLE                      ,36.247222,-86.5625
NEW YORK CITY                  ,40.865528,-72.863917
SPOKANE                        ,47.680417,-117.62677
NORMAN NSSL                    ,35.236058,-97.46235
PADUCAH                        ,37.068333,-88.771944
PITTSBURGH                     ,40.531717,-80.217967
PENDLETON                      ,45.69065,-118.85293
FORT POLK                      ,31.155278,-92.976111
PUEBLO                         ,38.45955,-104.18135
RALEIGH DURHAM                 ,35.665519,-78.48975
RENO                           ,39.754056,-119.46202
RIVERTON                       ,43.066089,-108.4773
CHARLESTON                     ,38.311111,-81.722778
PORTLAND                       ,45.715039,-122.965
POCATELLO                      ,43.1056,-112.68613
SPRINGFIELD                    ,37.235239,-93.400419
SHREVEPORT                     ,32.450833,-93.84125
SAN ANGELO                     ,31.371278,-100.4925
SANTA ANA MOUNTAINS            ,33.817733,-117.636
FORT SMITH                     ,35.290417,-94.361889
TAMPA                          ,27.7055,-82.401778
GREAT FALLS                    ,47.459583,-111.38533
TALLAHASSEE                    ,30.397583,-84.328944
OKLAHOMA CITY                  ,35.333361,-97.277761
TOPEKA                         ,38.99695,-96.23255
FORT DRUM                      ,43.755694,-75.679861
RAPID CITY                     ,44.124722,-102.83
HASTINGS                       ,40.320833,-98.441944
MOODY AFB                      ,30.890278,-83.001806
VANDENBERG AFB                 ,34.83855,-120.39791
VANCE AFB                      ,36.740617,-98.127717
LOS ANGELES                    ,34.412017,-119.17875
EVANSVILLE                     ,38.26025,-87.724528
YUMA                           ,32.495281,-114.65671
LAJES AB                       ,38.73028,-27.32167
BETHEL FAA                     ,60.791944,-161.87638
SITKA                          ,56.852778,-135.52916
NOME                           ,64.511389,-165.295
ANCHORAGE                      ,60.725914,-151.35146
MIDDLETON ISLAND               ,59.460767,-146.30344
KING SALMON                    ,58.679444,-156.62944
FAIRBANKS                      ,65.035114,-147.50143
ANDERSEN AFB AGANA             ,13.455833,144.811111
SOUTH KAUAI                    ,21.893889,-159.5525
KAMUELA                        ,20.125278,-155.77777
